source,target,type,id,attr,weight
4,0,structure_to_known,0,60.41570012,0.1
5,0,structure_to_known,1,87.89524181,0.1
7,0,structure_to_known,2,92.13684226,0.1
5,1,structure_to_known,3,140.5080846,0.1
6,1,structure_to_known,4,145.3138506,0.1
7,1,structure_to_known,5,145.4369527,0.1
9,0,chemical_to_known,6,1204.418947,0.02
10,0,chemical_to_known,7,1175.531795,0.02
11,0,chemical_to_known,8,1177.656571,0.02
9,1,chemical_to_known,9,1177.656571,0.02
10,1,chemical_to_known,10,1179.777521,0.02
11,1,chemical_to_known,11,1250.4999,0.02
4,12,structure_to_unknown,12,345.9910441,0.1
5,12,structure_to_unknown,13,346.2331504,0.1
6,12,structure_to_unknown,14,349.3856502,0.1
6,13,structure_to_unknown,15,350.4940137,0.1
7,13,structure_to_unknown,16,355.4542824,0.1
8,13,structure_to_unknown,17,356.6932304,0.1
9,12,chemical_to_unknown,18,1310.862312,0.02
10,12,chemical_to_unknown,19,1311.167419,0.02
11,12,chemical_to_unknown,20,1313.757969,0.02
9,13,chemical_to_unknown,21,1314.062403,0.02
10,13,chemical_to_unknown,22,1280.320272,0.02
11,13,chemical_to_unknown,23,1282.193433,0.02
