id,type,,,,,
0,known,,,,,
1,known,,,,,
2,known,,,,,
3,known,,,,,
4,structure,0.898460316,-0.223024195,-1.498617653,46.20098114,25
5,structure,0.686046951,-0.017977959,-0.821951233,46.61221695,51
6,structure,1.131939205,-0.489422897,-3.369931012,45.75532913,100
7,structure,0.966925283,-0.042027727,-1.280076677,46.57618713,12
8,structure,0.867998294,0.082427003,-0.467959813,46.68835449,19
9,chemical,3000,100,10,1.6,0.28
10,chemical,1500,75,10,1.6,0.28
11,chemical,1200,75,5,1.6,0.14
12,unknown,,,,,
13,unknown,,,,,
14,unknown,,,,,
